Step	Volume(Å³)	Pressure(GPa)	MeanForce(eV/Å)	MaxForce(eV/Å)	Stress_xx(GPa)	Stress_yy(GPa)	Stress_zz(GPa)	TotalEnergy(eV)	Temperature(K)
164	52.120312	1.155419	0.819588	1.502668	1.188304	1.279311	0.998643	-14.410355	582.93
165	52.120312	1.224645	0.801037	1.477641	1.487217	1.207743	0.978974	-14.410405	564.64
166	52.120312	1.363283	0.793996	1.401314	1.857012	1.191701	1.041136	-14.410433	537.53
167	52.120312	1.574614	0.801650	1.281988	2.282973	1.244654	1.196214	-14.410416	500.88
168	52.120312	1.851841	0.821625	1.130511	2.742141	1.369130	1.444250	-14.410335	455.38
169	52.120312	2.178411	0.849028	1.052387	3.207122	1.557443	1.770668	-14.410188	403.59
170	52.120312	2.522840	0.878349	1.172337	3.640641	1.784186	2.143695	-14.409993	350.01
171	52.120312	2.845271	0.904786	1.280421	3.999909	2.013612	2.522292	-14.409773	300.62
172	52.120312	3.104026	0.925388	1.363224	4.241920	2.207273	2.862887	-14.409566	262.12
173	52.120312	3.260569	0.940252	1.411204	4.330038	2.329074	3.122596	-14.409408	240.79
174	52.120312	3.284831	0.951211	1.418825	4.241901	2.350831	3.261761	-14.409327	241.44
175	52.120312	3.160091	0.954101	1.384422	3.971703	2.256309	3.252262	-14.409344	266.48
176	52.120312	2.887837	0.938385	1.309657	3.534731	2.045924	3.082856	-14.409461	315.35
177	52.120312	2.488862	0.896885	1.198556	2.967310	1.736734	2.762544	-14.409669	384.39
178	52.120312	2.002802	0.827879	1.056478	2.325265	1.361505	2.321636	-14.409943	467.15
179	52.120312	1.483398	0.733599	0.890019	1.676442	0.965384	1.808369	-14.410250	555.14
180	52.120312	0.990310	0.619497	0.749582	1.091036	0.596060	1.283835	-14.410550	638.86
181	52.120312	0.577000	0.495607	0.593943	0.624798	0.295145	0.811057	-14.410799	709.04
182	52.120312	0.290523	0.380347	0.437972	0.327510	0.095526	0.448533	-14.410973	757.91
183	52.120312	0.163558	0.313483	0.349564	0.232038	0.016323	0.242313	-14.411047	780.07
184	52.120312	0.210483	0.336802	0.384379	0.349625	0.065360	0.216464	-14.411010	773.24
185	52.120312	0.424110	0.427157	0.564528	0.667539	0.233258	0.371533	-14.410869	738.51
186	52.120312	0.776916	0.541752	0.755793	1.150939	0.494770	0.685040	-14.410642	680.24
187	52.120312	1.223759	0.657887	0.934369	1.745213	0.815437	1.110629	-14.410365	605.34
188	52.120312	1.711052	0.764452	1.087861	2.386534	1.154587	1.592036	-14.410061	522.45
189	52.120312	2.185525	0.854489	1.207149	3.011218	1.471534	2.073825	-14.409773	440.93
190	52.120312	2.594089	0.923660	1.285993	3.554307	1.726159	2.501801	-14.409538	369.61
191	52.120312	2.894105	0.969709	1.320742	3.960441	1.889778	2.832096	-14.409387	315.68
192	52.120312	3.060482	0.992279	1.310141	4.196065	1.945881	3.039500	-14.409337	283.76
193	52.120312	3.081889	0.991614	1.294792	4.242348	1.894219	3.109099	-14.409393	275.37
194	52.120312	2.966730	0.969672	1.274741	4.104371	1.750856	3.044964	-14.409543	288.80
195	52.120312	2.740854	0.930803	1.220472	3.808666	1.543360	2.870536	-14.409760	319.50
196	52.120312	2.449639	0.881557	1.139295	3.406581	1.311312	2.631023	-14.410000	360.96
197	52.120312	2.143163	0.830019	1.119811	2.957669	1.096908	2.374914	-14.410220	405.93
198	52.120312	1.862654	0.785600	1.251456	2.513172	0.935951	2.138841	-14.410384	447.76
